2019-11-17 16:25:49: "Saving updated Dropbox auth."
2019-11-17 16:26:45: "Running background sync on timer..."
2019-11-17 16:26:45: "Scheduling sync operation..."
2019-11-17 16:26:45: "Preparing scheduled sync"
2019-11-17 16:26:45: "Starting scheduled sync"
2019-11-17 16:26:45: "Synchronisation is already in progress. State: in_progress"
2019-11-17 16:27:05: "Operations completed: "
2019-11-17 16:27:05: "createRemote: 12"
2019-11-17 16:27:05: "fetchingTotal: 15"
2019-11-17 16:27:05: "fetchingProcessed: 15"
2019-11-17 16:27:05: "Total folders: 2"
2019-11-17 16:27:05: "Total notes: 5"
2019-11-17 16:27:05: "Total resources: 4"
2019-11-17 16:31:45: "Running background sync on timer..."
2019-11-17 16:31:45: "Scheduling sync operation..."
2019-11-17 16:31:45: "Preparing scheduled sync"
2019-11-17 16:31:45: "Starting scheduled sync"
2019-11-17 16:31:54: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2019-11-17 16:31:54: "TaskQueue.stop: syncDownload: Done, waited for 0"
2019-11-17 16:31:57: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:31:57: "ResourceFetcher: Auto-added resources: 1"
2019-11-17 16:31:57: "Operations completed: "
2019-11-17 16:31:57: "fetchingTotal: 2"
2019-11-17 16:31:57: "fetchingProcessed: 2"
2019-11-17 16:31:57: "createLocal: 2"
2019-11-17 16:31:57: "Total folders: 2"
2019-11-17 16:31:57: "Total notes: 5"
2019-11-17 16:31:57: "Total resources: 5"
2019-11-17 16:31:58: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:31:58: "ResourceFetcher: Auto-added resources: 0"
2019-11-17 16:32:12: "ResourceFetcher: Auto-add resources: Mode: always"
2019-11-17 16:32:12: "ResourceFetcher: Auto-added resources: 0"
2019-11-17 16:35:34: "RevisionService::maintenance: Starting..."
2019-11-17 16:35:34: "RevisionService::maintenance: Service is enabled"
2019-11-17 16:35:34: "RevisionService::collectRevisions: Created revisions for 0 notes"
2019-11-17 16:35:34: "RevisionService::maintenance: Done in 128ms"
2019-11-17 16:36:57: "Running background sync on timer..."
2019-11-17 16:36:57: "Scheduling sync operation..."
2019-11-17 16:36:57: "Preparing scheduled sync"
2019-11-17 16:36:57: "Starting scheduled sync"
2019-11-17 16:37:09: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2019-11-17 16:37:09: "TaskQueue.stop: syncDownload: Done, waited for 0"
2019-11-17 16:37:10: "Operations completed: "
2019-11-17 16:37:10: "fetchingTotal: 2"
2019-11-17 16:37:10: "fetchingProcessed: 2"
2019-11-17 16:37:10: "deleteLocal: 2"
2019-11-17 16:37:10: "Total folders: 1"
2019-11-17 16:37:10: "Total notes: 4"
2019-11-17 16:37:10: "Total resources: 5"
2019-11-17 16:37:20: "SearchEngine: Updating FTS table..."
2019-11-17 16:37:20: "SearchEngine: Updated FTS table in 71ms. Inserted: 0. Deleted: 1"
